flight_id,airline_name,source,destination,available_day,departure_time,arrival_time,duration,stops,available_seats,ticket_price,weather_status,delay_prediction
1,IndiGo,Delhi,Mumbai,Monday,13:15,15:30,2h 15m,2,51,21370,Clear,High Delay Chance
2,Emirates,Delhi,Mumbai,Monday,18:00,19:00,1h 0m,0,84,20059,Clear,High Delay Chance
3,Qatar Airways,Delhi,Mumbai,Tuesday,13:00,15:45,2h 45m,1,96,8594,Cloudy,Moderate Delay Chance
4,Air India,Delhi,Mumbai,Tuesday,08:00,12:00,4h 0m,1,113,23282,Rainy,Low Delay Chance
5,SpiceJet,Delhi,Mumbai,Tuesday,19:00,23:00,4h 0m,2,100,24099,Rainy,High Delay Chance
6,Air India,Delhi,Mumbai,Wednesday,12:30,13:45,1h 15m,0,122,12608,Storm,High Delay Chance
7,IndiGo,Delhi,Mumbai,Wednesday,16:15,19:45,3h 30m,0,93,24734,Clear,High Delay Chance
8,Emirates,Delhi,Mumbai,Wednesday,10:15,12:00,2h 45m,1,94,24471,Cloudy,High Delay Chance
9,IndiGo,Delhi,Mumbai,Thursday,17:30,18:45,1h 15m,2,105,10467,Storm,Moderate Delay Chance
10,Air India,Delhi,Mumbai,Thursday,19:15,22:30,3h 15m,0,168,21161,Rainy,High Delay Chance
11,Singapore Airlines,Delhi,Mumbai,Thursday,18:45,21:00,3h 15m,0,155,19671,Clear,Low Delay Chance
12,Vistara,Delhi,Mumbai,Thursday,08:15,10:00,2h 45m,2,41,16108,Storm,High Delay Chance
13,Akasa Air,Delhi,Mumbai,Friday,15:00,18:45,3h 45m,0,141,3606,Rainy,High Delay Chance
14,Singapore Airlines,Delhi,Mumbai,Friday,10:00,13:15,3h 15m,0,120,8793,Clear,High Delay Chance
15,IndiGo,Delhi,Mumbai,Friday,15:45,16:45,1h 0m,1,103,11346,Clear,Low Delay Chance
16,Emirates,Delhi,Mumbai,Friday,07:00,11:00,4h 0m,2,57,7707,Storm,High Delay Chance
17,Vistara,Delhi,Mumbai,Friday,10:30,15:15,5h 45m,0,163,10091,Rainy,Moderate Delay Chance
18,Singapore Airlines,Delhi,Mumbai,Saturday,12:15,13:45,1h 30m,0,175,21650,Cloudy,High Delay Chance
19,Akasa Air,Delhi,Mumbai,Saturday,12:00,13:00,1h 0m,0,42,4529,Rainy,Low Delay Chance
